cultivar_id,cultivar,season,range,column,absorbance_850,roll,PhiNO,PhiNPQ,absorbance_530,absorbance_605,absorbance_730,absorbance_880,absorbance_940,Fs,NPQt,qL,qP,RFd,SPAD_530,SPAD_605,SPAD_730,leaf_thickness,ambient_humidity,leaf_angle_clamp_position,pitch,proximal_air_temperature,FvP/FmP,leaf_temperature_differential,Phi2,relative_chlorophyll,FmPrime,FoPrime,LEF,SPAD_420,SPAD_650,SPAD_850,SPAD_880,light_intensity_PAR,leaf_temperature,date
6000000964,PI570373,4,21,2,0.44299999999999995,-2.6,0.054000000000000006,0.722,0.99,1.185,0.327,0.489,0.475,2316.8,13.48,0.857,0.889,0.289,51.49,70.97,-14.75,0.42,17.621094,3.23,1.92,44.490002000000004,0.252,-2.160002,0.22399999999999998,34.79541109,2986.15,2233.0,157.363,135.13,34.8,-3.18,1.36,1560.0,315.48,2017-08-28 12:00:00
6000000851,PI511355,4,26,15,0.449,-39.74,0.098,0.6729999999999999,1.27,1.4869999999999999,0.392,0.5,0.486,3221.0,6.886,0.48200000000000004,0.601,0.298,78.33,100.08,-9.4,0.15,27.99707,51.6,36.11,43.740002000000004,0.382,-6.750002,0.23,49.60229446,4181.791,2583.0,158.183,188.25,49.6,-3.74,1.34,1530.0,310.14,2017-08-28 11:14:00
6000000851,PI511355,4,26,15,0.456,-17.32,0.172,0.525,1.224,1.4340000000000002,0.396,0.506,0.48700000000000004,3569.2,3.051,0.36,0.5529999999999999,0.433,73.73,94.76,-9.06,0.57,26.202148,18.09,5.31,43.77,0.546,-9.48,0.302,46.18355641,5116.053,2321.0,177.017,171.18,46.18,-3.09,1.89,1301.0,307.44,2017-08-28 11:15:00
6000000964,PI570373,4,21,2,0.42100000000000004,-0.9,0.015,0.9079999999999999,0.997,1.114,0.293,0.467,0.457,1757.1,58.729,1.011,1.01,0.083,54.04,65.7,-16.36,0.46,17.947266,1.85,-1.62,43.950001,0.076,1.8199990000000001,0.076,33.00956023,1902.247,1759.0,53.598,134.03,33.01,-3.62,1.06,1561.0,318.92,2017-08-28 11:59:00
6000000964,PI570373,4,45,3,0.535,11.29,0.033,0.8320000000000001,1.185,1.335,0.43799999999999994,0.584,0.5720000000000001,1512.8,25.393,0.846,0.867,0.156,61.22,76.23,-13.45,1.08,20.450195,16.6,12.25,45.700001,0.156,1.389999,0.135,34.04206501,1749.371,1476.0,94.147,137.76,34.04,-3.79,1.2,1547.0,320.24,2017-08-28 12:10:00
6000000964,PI570373,4,45,3,0.419,-12.9,0.009000000000000001,0.9129999999999999,1.015,1.189,0.313,0.478,0.457,1852.1,98.15899999999999,1.713,1.6569999999999998,0.084,55.88,73.23,-14.37,0.09,19.720703,16.2,-9.89,46.0,0.047,1.36,0.078,36.29063098,2008.2,1914.0,49.608999999999995,142.22,36.29,-3.76,2.1,1418.0,320.74,2017-08-28 12:12:00
6000000962,PI570254,4,45,4,0.515,-6.58,0.065,0.764,1.3259999999999998,1.554,0.45399999999999996,0.557,0.54,2203.8,11.687000000000001,0.5329999999999999,0.613,0.205,78.57,101.38,-8.66,1.33,20.944336,8.21,4.93,46.130001,0.278,-2.5000009999999997,0.17,45.24665392,2655.8520000000003,1918.0,116.348,151.94,45.25,-2.5,1.7,1519.0,316.78,2017-08-28 12:17:00
6000000962,PI570254,4,45,4,0.451,-9.94,0.09,0.674,1.2409999999999999,1.4980000000000002,0.402,0.503,0.479,2786.7,7.516,0.539,0.648,0.309,76.15,101.87,-7.78,0.82,21.1875,15.9,12.47,45.860001000000004,0.364,-7.870000999999999,0.23600000000000002,48.71892925,3648.1220000000003,2319.0,184.575,163.93,48.72,-2.89,2.32,1737.0,311.14,2017-08-28 12:20:00
6000000962,PI570254,4,16,14,0.465,-45.13,0.053,0.7809999999999999,1.349,1.643,0.42,0.505,0.491,2157.5,14.682,0.637,0.6970000000000001,0.198,85.78,115.23,-7.17,1.13,19.262695,46.84,14.19,45.59,0.237,-4.09,0.165,55.30783939,2584.835,1971.0,122.915,181.17,55.31,-2.58,1.38,1652.0,314.65,2017-08-28 12:30:00
6000000962,PI570254,4,16,14,0.43,-4.27,0.052000000000000005,0.7659999999999999,1.264,1.5390000000000001,0.389,0.483,0.466,2617.0,14.825,0.7240000000000001,0.775,0.223,79.82,107.32,-7.64,0.29,17.62793,7.19,5.8,45.599998,0.23600000000000002,-8.069998,0.183,52.19120459,3201.526,2447.0,125.961,181.77,52.19,-3.57,1.71,1533.0,310.68,2017-08-28 12:31:00
6000000962,PI570254,4,16,14,0.431,-6.06,0.078,0.711,1.295,1.579,0.397,0.486,0.46799999999999997,2573.3,9.124,0.5529999999999999,0.647,0.267,82.67,111.12,-7.12,0.29,15.199219,14.2,12.87,45.470001,0.325,-8.880001,0.21100000000000002,53.04780115,3259.587,2199.0,151.67700000000002,181.1,53.05,-3.7,1.75,1601.0,309.74,2017-08-28 12:32:00
6000000208,PI651491,4,26,14,0.431,18.07,0.105,0.7,1.2919999999999998,1.5330000000000001,0.375,0.484,0.466,3233.7,6.653,0.38,0.501,0.242,82.57,106.62,-9.1,0.16,19.642578,29.36,23.54,45.529999,0.389,-7.659999000000001,0.195,51.9082218,4016.867,2453.0,149.94899999999998,200.2,51.91,-3.55,1.81,1709.0,311.02,2017-08-28 12:39:00
6000000208,PI651491,4,26,14,0.442,-22.72,0.099,0.6809999999999999,1.226,1.45,0.37,0.49200000000000005,0.473,2930.5,6.888999999999999,0.455,0.575,0.282,75.38,97.73,-10.3,0.23,21.270508,33.03,24.65,45.650002,0.382,-2.420002,0.22,47.77437859,3755.494,2320.0,168.25900000000001,185.23,47.77,-3.08,1.94,1702.0,316.38,2017-08-28 12:40:00
6000000851,PI511355,4,26,15,0.441,-55.95,0.1,0.602,1.166,1.3719999999999999,0.364,0.495,0.475,2965.1,6.044,0.613,0.728,0.424,69.05,89.66,-11.15,0.17,17.647461,57.97,18.71,45.790001000000004,0.409,-5.980001000000001,0.298,44.9292543,4223.413,2495.0,135.283,175.33,44.93,-3.41,1.93,1009.0,312.96,2017-08-28 13:13:00
6000000851,PI511355,4,26,15,0.445,25.79,0.1,0.695,1.1640000000000001,1.3880000000000001,0.361,0.495,0.48200000000000004,2863.3,6.94,0.419,0.5379999999999999,0.258,68.16,90.57,-12.15,0.36,15.880859,34.0,22.96,45.740002000000004,0.381,-6.570002000000001,0.205,44.14913958,3600.95,2230.0,162.05700000000002,173.26,44.15,-3.71,1.32,1758.0,312.32,2017-08-28 13:15:00
6000000851,PI511355,4,26,15,0.425,-42.3,0.128,0.55,1.1059999999999999,1.327,0.34600000000000003,0.484,0.462,3102.6,4.288,0.513,0.67,0.474,64.46,86.51,-11.59,0.12,19.822266,45.84,19.61,45.66,0.48,-7.63,0.321,42.78011472,4572.037,2378.0,126.257,161.77,42.78,-3.67,2.21,873.0,311.18,2017-08-28 13:16:00
6000000962,PI570254,4,16,14,0.518,-2.0,0.139,0.595,1.436,1.706,0.49,0.555,0.535,3384.8,4.29,0.39299999999999996,0.555,0.363,90.12,117.09,-4.46,1.9,17.172852,10.85,10.67,45.830002,0.48,-12.540002000000001,0.266,53.57170172,4612.185,2399.0,170.65400000000002,172.32,53.57,-1.64,2.08,1425.0,306.44,2017-08-28 13:23:00
6000000962,PI570254,4,16,14,0.44299999999999995,4.13,0.038,0.828,1.143,1.357,0.373,0.49700000000000005,0.475,2229.8,21.645,0.715,0.753,0.154,66.76,88.14,-10.21,0.48,22.582031,13.15,12.49,45.700001,0.177,-8.050001,0.133,42.70745698,2573.1910000000003,2117.0,100.353,165.97,42.71,-3.19,2.2,1671.0,310.8,2017-08-28 13:25:00
6000000962,PI570254,4,16,14,0.426,-28.34,0.07400000000000001,0.733,1.113,1.374,0.35600000000000004,0.48200000000000004,0.46399999999999997,2625.0,9.957,0.5379999999999999,0.627,0.24,64.89,90.96,-10.82,0.17,21.679688,37.74,26.03,45.720001,0.308,-4.480001000000001,0.193,44.59273423,3253.9770000000003,2251.0,148.752,154.77,44.59,-3.86,1.82,1710.0,314.39,2017-08-28 13:26:00
6000000962,PI570254,4,45,4,0.426,2.3,0.081,0.72,1.1640000000000001,1.395,0.35700000000000004,0.484,0.466,2673.5,8.884,0.504,0.603,0.249,69.87,92.9,-10.87,0.15,18.746094,21.14,21.02,46.02,0.331,-3.25,0.19899999999999998,43.33078394,3338.32,2235.0,142.847,152.56,43.33,-3.99,1.82,1594.0,315.92,2017-08-28 13:39:00
